dataset_id,original_filename,relative_path,extension,file_size_bytes,sha256,collagen_concentration_mg_ml,replicate_id,test_type_original,test_type_standard,metadata_source,filename_parsed
zenodo_17413651,Colageno_bov_0.8_1_frecuencia.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_1_frecuencia.xlsx,.xlsx,15099,3c43a2e1cef7ac3a19ef6d11176735dada0d930e082028b9fc03d6428d8b539f,0.8,1,frecuencia,frequency_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_1_tiempo.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_1_tiempo.xlsx,.xlsx,17216,8689cf266a2d659f986f3cf964ba1df377c5e840162057f8598e737c1cdd8ed6,0.8,1,tiempo,time_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_2_frecuencia.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_2_frecuencia.xlsx,.xlsx,15623,ff132026cb73ec602ba84ab843aa13eb5a60a116457b613b0bc8b7c98a3ab3c2,0.8,2,frecuencia,frequency_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_2_tiempo.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_2_tiempo.xlsx,.xlsx,17258,46f59209ca5c3c44df73d4f54a7415907268b70aa8020babed516a00f3c08438,0.8,2,tiempo,time_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_3_frecuencia.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_3_frecuencia.xlsx,.xlsx,9496,580a921913371cb41584a35174fb6e58a22dfce4090f83ae67b1a3b71516f46b,0.8,3,frecuencia,frequency_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_3_tiempo.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_3_tiempo.xlsx,.xlsx,17242,a266c19a070f2e37e94be7a2bf664639297928c371ceecdd171b955eb805972a,0.8,3,tiempo,time_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_4_frecuencia.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_4_frecuencia.xlsx,.xlsx,15645,675701eb9922d7bbbf919ed72be0a268f9f4e593c03fdf253b00e1e2faa0aab8,0.8,4,frecuencia,frequency_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_0.8_4_tiempo.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_0.8_4_tiempo.xlsx,.xlsx,17226,c183b717577c6e1af87ee3f8be61dc6855a5fae17e7b1296a39a6a01d57e929c,0.8,4,tiempo,time_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_1.5_1_frecuencia.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_1.5_1_frecuencia.xlsx,.xlsx,15627,b42f0eef272bac6156eb16dc46653c760cab076a26dd5cac05ebdafdb2a9e7ad,1.5,1,frecuencia,frequency_sweep,filename_parsing,True
zenodo_17413651,Colageno_bov_1.5_1_tiempo.xlsx,data\interim\zenodo_17413651_v1\Colageno_bov_1.5_1_tiempo.xlsx,.xlsx,17040,f2ae903418546bf3a107ef39dd7a4c61f22496b2269c2950df2b158dd6d663ea,1.5,1,tiempo,time_sweep,filename_parsing,True
