original_filename,collagen_concentration_mg_ml,replicate_id,test_type_standard,data_row_count,headers_match_expected,units_match_expected,missing_value_count,non_numeric_value_count,storage_modulus_zero_count,loss_modulus_zero_count,headers_found,units_found,row_count_matches_mode
Colageno_bov_0.8_1_frecuencia.xlsx,0.8,1,frequency_sweep,21,True,True,0,0,1,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_0.8_1_tiempo.xlsx,0.8,1,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_0.8_2_frecuencia.xlsx,0.8,2,frequency_sweep,21,False,False,10,11,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature | , | [rad/s] | [Pa] | [Pa] | [°C] | ,True
Colageno_bov_0.8_2_tiempo.xlsx,0.8,2,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_0.8_3_frecuencia.xlsx,0.8,3,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_0.8_3_tiempo.xlsx,0.8,3,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_0.8_4_frecuencia.xlsx,0.8,4,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_0.8_4_tiempo.xlsx,0.8,4,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_1.5_1_frecuencia.xlsx,1.5,1,frequency_sweep,21,True,False,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [ｰC],True
Colageno_bov_1.5_1_tiempo.xlsx,1.5,1,time_sweep,45,True,False,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Paｷs] | [Pa] | [ｰC],True
Colageno_bov_1.5_2_frecuencia.xlsx,1.5,2,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_1.5_2_tiempo.xlsx,1.5,2,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_1.5_3_frecuencia.xlsx,1.5,3,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_1.5_3_tiempo.xlsx,1.5,3,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_2.3_1_frecuencia.xlsx,2.3,1,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_2.3_1_tiempo.xlsx,2.3,1,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
Colageno_bov_2.3_2_frecuencia.xlsx,2.3,2,frequency_sweep,21,True,False,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [ｰC],True
Colageno_bov_2.3_2_tiempo.xlsx,2.3,2,time_sweep,45,True,False,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Paｷs] | [Pa] | [ｰC],True
Colageno_bov_2.3_3_frecuencia.xlsx,2.3,3,frequency_sweep,21,True,True,0,0,0,0,Meas. Pts. | Angular Frequency | Storage Modulus | Loss Modulus | Temperature, | [rad/s] | [Pa] | [Pa] | [°C],True
Colageno_bov_2.3_3_tiempo.xlsx,2.3,3,time_sweep,45,True,True,0,0,0,0,Meas. Pts. | Shear Stress | Angular Frequency | Storage Modulus | Strain | Complex Viscosity | Loss Modulus | Temperature, | [Pa] | [rad/s] | [Pa] | [%] | [Pa·s] | [Pa] | [°C],True
