original_filename,collagen_concentration_mg_ml,replicate_id,test_type_standard,sheet_name,sheet_state,reported_cell_range,reported_max_rows,reported_max_columns
Colageno_bov_0.8_1_frecuencia.xlsx,0.8,1,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_0.8_1_tiempo.xlsx,0.8,1,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_0.8_2_frecuencia.xlsx,0.8,2,frequency_sweep,Hoja1,visible,A4:F26,26,6
Colageno_bov_0.8_2_tiempo.xlsx,0.8,2,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_0.8_3_frecuencia.xlsx,0.8,3,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_0.8_3_tiempo.xlsx,0.8,3,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_0.8_4_frecuencia.xlsx,0.8,4,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_0.8_4_tiempo.xlsx,0.8,4,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_1.5_1_frecuencia.xlsx,1.5,1,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_1.5_1_tiempo.xlsx,1.5,1,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_1.5_2_frecuencia.xlsx,1.5,2,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_1.5_2_tiempo.xlsx,1.5,2,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_1.5_3_frecuencia.xlsx,1.5,3,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_1.5_3_tiempo.xlsx,1.5,3,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_2.3_1_frecuencia.xlsx,2.3,1,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_2.3_1_tiempo.xlsx,2.3,1,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_2.3_2_frecuencia.xlsx,2.3,2,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_2.3_2_tiempo.xlsx,2.3,2,time_sweep,Hoja1,visible,A4:H50,50,8
Colageno_bov_2.3_3_frecuencia.xlsx,2.3,3,frequency_sweep,Hoja1,visible,A4:E26,26,5
Colageno_bov_2.3_3_tiempo.xlsx,2.3,3,time_sweep,Hoja1,visible,A4:H50,50,8
